step,time,x_ego,v_ego,lane_ego,x_slow,v_slow,lane_slow,x_side,v_side,lane_side,distance_front,safe_distance,front_gap_target,rear_gap_target,collision,safety_violation,unsafe_lane_change_attempt,lane_change_executed,a_ego,reward,a_nom,lane_cmd_nom,lane_cmd,use_safety_filter,scenario
1,0.1,2.0100000000000002,20.1,0,31.199170220047026,11.991702200470257,0,71.80220324493442,18.022032449344216,1,29.189170220047025,15.05,69.79220324493441,999.0,False,False,False,False,1.0,1.9100000000000001,1.0,0,0,True,safe_overtake
2,0.2,4.030000000000001,20.200000000000003,0,32.39334158384223,11.941713637951992,0,73.60242981559516,18.0022657066074,1,28.363341583842228,15.100000000000001,69.57242981559516,999.0,False,False,False,False,1.0,1.9200000000000004,1.0,0,0,True,safe_overtake
3,0.30000000000000004,6.060000000000002,20.300000000000004,0,33.5839805065456,11.906389227033703,0,75.39857977220359,17.961499566084278,1,27.5239805065456,15.150000000000002,69.33857977220359,999.0,False,False,False,False,1.0,1.9300000000000006,1.0,0,0,True,safe_overtake
4,0.4,8.090000000000003,20.300000000000004,0,34.771482031362744,11.87501524817147,0,77.19318533608245,17.946055638788582,1,26.68148203136274,15.150000000000002,69.10318533608245,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,safe_overtake
5,0.5,10.120000000000005,20.300000000000004,0,35.9579512309222,11.864691995594537,0,78.98817906730135,17.94993731218892,1,25.837951230922194,15.150000000000002,68.86817906730134,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,safe_overtake
6,0.6000000000000001,12.150000000000006,20.300000000000004,0,37.143612375625686,11.856611447034867,0,80.7850249935242,17.968459262228595,1,24.99361237562568,15.150000000000002,68.6350249935242,999.0,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,safe_overtake
7,0.7000000000000001,14.180000000000007,20.300000000000004,1,38.326318042826486,11.827056672008018,0,82.58565209411097,18.00627100586769,1,68.40565209411096,15.150000000000002,24.14631804282648,999.0,False,False,False,True,0.0,2.0300000000000007,0.0,1,1,True,safe_overtake
8,0.8,16.220000000000006,20.400000000000006,1,39.504297585959264,11.77979543132781,0,84.38798386979953,18.02331775688553,1,68.16798386979951,15.200000000000003,23.28429758595926,999.0,False,False,False,False,1.0,1.9400000000000004,1.0,0,0,True,safe_overtake
9,0.9,18.270000000000007,20.500000000000007,1,40.681450177115714,11.771525911564524,0,86.19090254377254,18.029186739730104,1,67.92090254377253,15.250000000000004,22.411450177115707,999.0,False,False,False,False,1.0,1.9500000000000006,1.0,0,0,True,safe_overtake
10,1.0,20.33000000000001,20.60000000000001,1,41.85500663765812,11.735564605424047,0,87.9908022326364,17.99899688863859,1,67.66080223263639,15.300000000000004,21.525006637658112,999.0,False,False,False,False,1.0,1.9600000000000009,1.0,0,0,True,safe_overtake
11,1.1,22.40000000000001,20.70000000000001,1,43.031570543887284,11.765639062291601,0,89.79538453725745,18.04582304621053,1,67.39538453725744,15.350000000000005,20.631570543887275,999.0,False,False,False,False,1.0,1.970000000000001,1.0,0,0,True,safe_overtake
12,1.2000000000000002,24.48000000000001,20.80000000000001,1,44.20626869189804,11.746981480107525,0,91.60189006803519,18.06505530777746,1,67.12189006803519,15.400000000000006,19.726268691898028,999.0,False,False,False,False,1.0,1.9800000000000013,1.0,0,0,True,safe_overtake
13,1.3,26.57000000000001,20.900000000000013,1,45.38473073143175,11.784620395337129,0,93.41234166544797,18.104515974127846,1,66.84234166544796,15.450000000000006,18.81473073143174,999.0,False,False,False,False,1.0,1.990000000000001,1.0,0,0,True,safe_overtake
14,1.4000000000000001,28.670000000000012,21.000000000000014,1,46.559043213079164,11.743124816474106,0,95.21818381069308,18.058421452451135,1,66.54818381069306,15.500000000000007,17.88904321307915,999.0,False,False,False,False,1.0,2.0000000000000013,1.0,0,0,True,safe_overtake
15,1.5,30.780000000000015,21.100000000000016,1,47.73005399892222,11.710107858430563,0,97.02780738097249,18.096235702794075,1,66.24780738097247,15.550000000000008,16.950053998922208,999.0,False,False,False,False,1.0,2.0100000000000016,1.0,0,0,True,safe_overtake
16,1.6,32.90000000000002,21.200000000000017,1,48.89704825310361,11.669942541813867,0,98.83664202750195,18.08834646529458,1,65.93664202750193,15.600000000000009,15.997048253103593,999.0,False,False,False,False,1.0,2.020000000000002,1.0,0,0,True,safe_overtake
17,1.7000000000000002,35.03000000000002,21.30000000000002,1,50.0686214025865,11.715731494828917,0,100.64580832688114,18.091662993791882,1,65.61580832688111,15.65000000000001,15.038621402586479,999.0,False,False,False,False,1.0,2.030000000000002,1.0,0,0,True,safe_overtake
18,1.8,37.17000000000002,21.40000000000002,1,51.2421133232089,11.734919206223964,0,102.45312978257039,18.073214556892488,1,65.28312978257037,15.70000000000001,14.072113323208875,999.0,False,False,False,False,1.0,2.040000000000002,1.0,0,0,True,safe_overtake
19,1.9000000000000001,39.32000000000002,21.50000000000002,1,52.41747025310811,11.753569298992122,0,104.2637974949786,18.106677124082225,1,64.94379749497858,15.75000000000001,13.097470253108085,999.0,False,False,False,False,1.0,2.050000000000002,1.0,0,0,True,safe_overtake
20,2.0,41.480000000000025,21.600000000000023,1,53.58801006578076,11.705398126726541,0,106.07696665053628,18.131691555576722,1,64.59696665053625,15.800000000000011,12.108010065780732,999.0,False,False,False,False,1.0,2.0600000000000023,1.0,0,0,True,safe_overtake
21,2.1,43.65000000000003,21.700000000000024,1,54.76343848934248,11.75428423561719,0,107.89261746263774,18.156508121014706,1,64.24261746263772,15.850000000000012,11.11343848934245,999.0,False,False,False,False,1.0,2.0700000000000025,1.0,0,0,True,safe_overtake
22,2.2,45.83000000000003,21.800000000000026,1,55.93667135282484,11.73232863482363,0,109.71116106802373,18.185436053859856,1,63.8811610680237,15.900000000000013,10.106671352824812,999.0,False,False,False,False,1.0,2.0800000000000027,1.0,0,0,True,safe_overtake
23,2.3000000000000003,48.02000000000003,21.900000000000027,1,57.105936476372975,11.692651235481396,0,111.52918360867147,18.180225406477447,1,63.50918360867144,15.950000000000014,9.085936476372943,999.0,False,False,False,False,1.0,2.0900000000000025,1.0,0,0,True,safe_overtake
24,2.4000000000000004,50.220000000000034,22.00000000000003,1,58.27928755495205,11.733510785790706,0,113.34514229080295,18.159586821314814,1,63.12514229080292,16.000000000000014,8.059287554952014,999.0,False,False,False,False,1.0,2.1000000000000028,1.0,0,0,True,safe_overtake
25,2.5,52.430000000000035,22.10000000000003,1,59.45051638691698,11.71228831964934,0,115.15740125865563,18.12258967852664,1,62.72740125865559,16.050000000000015,7.020516386916945,999.0,False,False,False,False,1.0,2.110000000000003,1.0,0,0,True,safe_overtake
26,2.6,54.65000000000004,22.20000000000003,1,60.616938888460616,11.66422501543637,0,116.97144858183769,18.14047323182063,1,62.32144858183765,16.100000000000016,5.966938888460575,999.0,False,False,False,False,1.0,2.120000000000003,1.0,0,0,True,safe_overtake
27,2.7,56.880000000000045,22.300000000000033,1,61.780477671164256,11.635387827036377,0,118.78315137161347,18.11702789775785,1,61.903151371613426,16.150000000000016,4.900477671164211,999.0,False,False,False,False,1.0,2.1300000000000034,1.0,0,0,True,safe_overtake
28,2.8000000000000003,59.12000000000005,22.400000000000034,1,62.943932185460696,11.634545142964411,0,120.59038778684042,18.072364152269557,1,61.47038778684038,16.200000000000017,3.8239321854606487,999.0,False,False,False,False,1.0,2.1400000000000032,1.0,0,0,True,safe_overtake
29,2.9000000000000004,61.37000000000005,22.500000000000036,1,64.10812787581206,11.641956903513613,0,122.39409148781644,18.037037009760137,1,61.02409148781639,16.250000000000018,2.738127875812012,999.0,False,False,False,False,1.0,2.1500000000000035,1.0,0,0,True,safe_overtake
30,3.0,63.63000000000005,22.600000000000037,1,65.27321662153246,11.650887457203941,0,124.19979277239267,18.05701284576223,1,60.56979277239262,16.30000000000002,1.643216621532403,999.0,False,False,False,False,1.0,2.1600000000000037,1.0,0,0,True,safe_overtake
31,3.1,65.90000000000006,22.70000000000004,1,66.43432871154113,11.611120900086725,0,126.00463461684708,18.048418444544186,1,60.10463461684702,16.35000000000002,0.5343287115410646,999.0,False,False,False,False,1.0,2.170000000000004,1.0,0,0,True,safe_overtake
32,3.2,68.18000000000006,22.80000000000004,1,67.59738480312707,11.6305609158595,0,127.80861825399677,18.039836371496875,1,59.628618253996706,16.40000000000002,999.0,0.5826151968729931,False,False,False,False,1.0,2.180000000000004,1.0,0,0,True,safe_overtake
33,3.3000000000000003,70.47000000000007,22.90000000000004,1,68.75594042930248,11.585556261754109,0,129.6129608552056,18.043426012088425,1,59.142960855205544,16.45000000000002,999.0,1.7140595706975859,False,False,False,False,1.0,2.190000000000004,1.0,0,0,True,safe_overtake
34,3.4000000000000004,72.77000000000007,23.000000000000043,1,69.91613400193009,11.601935726276087,0,131.41745234753503,18.044914923294254,1,58.647452347534966,16.50000000000002,999.0,2.8538659980699776,False,False,False,False,1.0,2.200000000000004,1.0,0,0,True,safe_overtake
35,3.5,75.08000000000007,23.100000000000044,1,71.08077352211761,11.646395201875169,0,133.22280939026948,18.053570427344454,1,58.142809390269406,16.550000000000022,999.0,3.999226477882459,False,False,False,False,1.0,2.2100000000000044,1.0,0,0,True,safe_overtake
36,3.6,77.40000000000008,23.200000000000045,1,72.249447061458,11.686735393403957,0,135.0245411800454,18.017317897759078,1,57.62454118004531,16.600000000000023,999.0,5.150552938542077,False,False,False,False,1.0,2.2200000000000046,1.0,0,0,True,safe_overtake
37,3.7,79.73000000000008,23.300000000000047,1,73.4145133642709,11.650663028129033,0,136.8293468827084,18.04805702663003,1,57.09934688270832,16.650000000000023,999.0,6.315486635729172,False,False,False,False,1.0,2.230000000000005,1.0,0,0,True,safe_overtake
38,3.8000000000000003,82.07000000000008,23.40000000000005,1,74.57855643545366,11.640430711827586,0,138.63080612734257,18.014592446341723,1,56.56080612734249,16.700000000000024,999.0,7.491443564546415,False,False,False,False,1.0,2.2400000000000047,1.0,0,0,True,safe_overtake
39,3.9000000000000004,84.42000000000009,23.50000000000005,1,75.74687459244038,11.68318156986719,0,140.4307430305742,17.999369032316274,1,56.01074303057412,16.750000000000025,999.0,8.67312540755971,False,False,False,False,1.0,2.250000000000005,1.0,0,0,True,safe_overtake
40,4.0,86.78000000000009,23.60000000000005,1,76.91770087045846,11.708262780180805,0,142.23293991365935,18.021968830851318,1,55.452939913659264,16.800000000000026,999.0,9.862299129541626,False,False,False,False,1.0,2.260000000000005,1.0,0,0,True,safe_overtake
41,4.1000000000000005,89.15000000000009,23.700000000000053,1,78.0923602093886,11.746593389301387,0,144.03637351881503,18.034336051556878,1,54.886373518814935,16.850000000000026,999.0,11.05763979061149,False,False,False,False,1.0,2.2700000000000053,1.0,0,0,True,safe_overtake
42,4.2,91.5300000000001,23.800000000000054,1,79.26952897265902,11.77168763270412,0,145.8382961073905,18.01922588575466,1,54.308296107390404,16.900000000000027,999.0,12.260471027341083,False,False,False,False,1.0,2.2800000000000056,1.0,0,0,True,safe_overtake
43,4.3,93.9200000000001,23.900000000000055,1,80.44439701484708,11.748680421880623,0,147.64417755814793,18.05881450757427,1,53.72417755814783,16.950000000000028,999.0,13.475602985153017,False,False,False,False,1.0,2.2900000000000054,1.0,0,0,True,safe_overtake
44,4.4,96.3200000000001,24.000000000000057,1,81.61854596893386,11.741489540867752,0,149.45470740937685,18.105298512289107,1,53.134707409376745,17.00000000000003,999.0,14.701454031066248,False,False,False,False,1.0,2.3000000000000056,1.0,0,0,True,safe_overtake
45,4.5,98.73000000000012,24.10000000000006,1,82.79432933799882,11.757833690649596,0,151.26645421780785,18.11746808431002,1,52.53645421780773,17.05000000000003,999.0,15.9356706620013,False,False,False,False,1.0,2.310000000000006,1.0,0,0,True,safe_overtake
46,4.6000000000000005,101.15000000000012,24.20000000000006,1,83.9662601667933,11.719308287944934,0,153.08269591882592,18.162417010180725,1,51.9326959188258,17.10000000000003,999.0,17.183739833206815,False,False,False,False,1.0,2.320000000000006,1.0,0,0,True,safe_overtake
47,4.7,103.58000000000013,24.30000000000006,1,85.1376901169226,11.714299501292928,0,154.89972151598786,18.17025597161944,1,51.31972151598774,17.15000000000003,999.0,18.442309883077527,False,False,False,False,1.0,2.3300000000000063,1.0,0,0,True,safe_overtake
48,4.800000000000001,106.02000000000014,24.400000000000063,1,86.30820143507951,11.705113181569056,0,156.71411738295222,18.143958669643744,1,50.694117382952086,17.20000000000003,999.0,19.711798564920628,False,False,False,False,1.0,2.3400000000000065,1.0,0,0,True,safe_overtake
49,4.9,108.47000000000014,24.500000000000064,1,87.48274654844204,11.74545113362528,0,158.5292500447833,18.15132661831097,1,50.05925004478317,17.250000000000032,999.0,20.987253451558104,False,False,False,False,1.0,2.3500000000000063,1.0,0,0,True,safe_overtake
50,5.0,110.93000000000015,24.600000000000065,1,88.65232036507487,11.695738166328397,0,160.34555415575062,18.163041109673046,1,49.41555415575047,17.300000000000033,999.0,22.277679634925278,False,False,False,False,1.0,2.3600000000000065,1.0,0,0,True,safe_overtake
51,5.1000000000000005,113.40000000000016,24.700000000000067,1,89.82016063072543,11.678402656505606,0,162.1621288477405,18.165746919898808,1,48.76212884774033,17.350000000000033,999.0,23.579839369274737,False,False,False,False,1.0,2.3700000000000068,1.0,0,0,True,safe_overtake
52,5.2,115.88000000000017,24.800000000000068,1,90.99186031736909,11.716996866436682,0,163.9772762373304,18.15147389589906,1,48.09727623733022,17.400000000000034,999.0,24.888139682631078,False,False,False,False,1.0,2.380000000000007,1.0,0,0,True,safe_overtake
53,5.300000000000001,118.37000000000018,24.90000000000007,1,92.16764535552196,11.757850381528662,0,165.79365722807822,18.16380990747824,1,47.42365722807804,17.450000000000035,999.0,26.20235464447822,False,False,False,False,1.0,2.3900000000000072,1.0,0,0,True,safe_overtake
54,5.4,120.87000000000018,25.00000000000007,1,93.33858860610329,11.709432505813318,0,167.61433259116347,18.206753630852614,1,46.7443325911633,17.500000000000036,999.0,27.53141139389689,False,False,False,False,1.0,2.400000000000007,1.0,0,0,True,safe_overtake
55,5.5,123.38000000000018,25.100000000000072,1,94.5114408258598,11.72852219756501,0,169.43998118275326,18.256485915897763,1,46.05998118275308,17.550000000000036,999.0,28.868559174140387,False,False,False,False,1.0,2.4100000000000072,1.0,0,0,True,safe_overtake
