step,time,x_ego,v_ego,lane_ego,x_slow,v_slow,lane_slow,x_side,v_side,lane_side,distance_front,safe_distance,front_gap_target,rear_gap_target,collision,safety_violation,unsafe_lane_change_attempt,lane_change_executed,a_ego,reward,a_nom,lane_cmd_nom,lane_cmd,use_safety_filter,scenario
1,0.1,2.0100000000000002,20.1,0,31.199170220047026,11.991702200470257,0,-5.597796755065579,24.022032449344216,1,29.189170220047025,15.05,999.0,7.6077967550655785,False,False,False,False,1.0,1.9100000000000001,1.0,0,0,True,blocked_by_rear
2,0.2,4.030000000000001,20.200000000000003,0,32.39334158384223,11.941713637951992,0,-3.1975701844048388,24.0022657066074,1,28.363341583842228,15.100000000000001,999.0,7.22757018440484,False,False,False,False,1.0,1.9200000000000004,1.0,0,0,True,blocked_by_rear
3,0.30000000000000004,6.060000000000002,20.300000000000004,0,33.5839805065456,11.906389227033703,0,-0.8014202277964109,23.961499566084278,1,27.5239805065456,15.150000000000002,999.0,6.861420227796414,False,False,False,False,1.0,1.9300000000000006,1.0,0,0,True,blocked_by_rear
4,0.4,8.090000000000003,20.300000000000004,0,34.771482031362744,11.87501524817147,0,1.5931853360824473,23.946055638788582,1,26.68148203136274,15.150000000000002,999.0,6.496814663917556,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_rear
5,0.5,10.120000000000005,20.300000000000004,0,35.9579512309222,11.864691995594537,0,3.9881790673013393,23.94993731218892,1,25.837951230922194,15.150000000000002,999.0,6.131820932698665,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_rear
6,0.6000000000000001,12.150000000000006,20.300000000000004,0,37.143612375625686,11.856611447034867,0,6.385024993524199,23.968459262228595,1,24.99361237562568,15.150000000000002,999.0,5.764975006475806,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_rear
7,0.7000000000000001,14.180000000000007,20.300000000000004,0,38.326318042826486,11.827056672008018,0,8.785652094110969,24.00627100586769,1,24.14631804282648,15.150000000000002,999.0,5.394347905889038,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_rear
8,0.8,16.210000000000008,20.300000000000004,0,39.504297585959264,11.77979543132781,0,11.187983869799522,24.02331775688553,1,23.294297585959256,15.150000000000002,999.0,5.022016130200486,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_rear
9,0.9,18.24000000000001,20.300000000000004,0,40.681450177115714,11.771525911564524,0,13.590902543772533,24.029186739730104,1,22.441450177115705,15.150000000000002,999.0,4.6490974562274765,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_rear
10,1.0,20.27000000000001,20.300000000000004,0,41.85500663765812,11.735564605424047,0,15.990802232636392,23.99899688863859,1,21.58500663765811,15.150000000000002,999.0,4.279197767363618,False,False,False,False,0.0,2.0300000000000007,0.0,0,0,True,blocked_by_rear
